,Sex,num_health_screenings,num_healthy,num_diagnosed_with_one_of_hypertension_diabetes_dyslipidemia_pulmonaryTuberculosis,,,,,,,,
Seoul,Total,2062906,1031401,317722,,,,,,,,
Seoul,Male,1077052,462004,167214,,,,,,,,
Seoul,Female,985854,569397,150508,,,,,,,,
Jongno-gu,Total,31116,15743,5365,,,,,,,,
Jongno-gu,Male,15510,6739,2741,,,,,,,,
Jongno-gu,Female,15606,9004,2624,,,,,,,,
Jung-gu,Total,25083,12136,3932,,,,,,,,
Jung-gu,Male,12756,5299,1993,,,,,,,,
Jung-gu,Female,12327,6837,1939,,,,,,,,
Yongsan-gu,Total,44493,22657,6815,,,,,,,,
Yongsan-gu,Male,22710,10058,3461,,,,,,,,
Yongsan-gu,Female,21783,12599,3354,,,,,,,,
Seongdong-gu,Total,60590,29550,10117,,,,,,,,
Seongdong-gu,Male,31670,13199,5100,,,,,,,,
Seongdong-gu,Female,28920,16351,5017,,,,,,,,
Gwangjin-gu,Total,76663,39115,11397,,,,,,,,
Gwangjin-gu,Male,38953,16611,6019,,,,,,,,
Gwangjin-gu,Female,37710,22504,5378,,,,,,,,
Dongdaemun-gu,Total,71619,34269,12932,,,,,,,,
Dongdaemun-gu,Male,36686,14943,6596,,,,,,,,
Dongdaemun-gu,Female,34933,19326,6336,,,,,,,,
Jungnang-gu,Total,89212,41927,14302,,,,,,,,
Jungnang-gu,Male,45829,18222,7679,,,,,,,,
Jungnang-gu,Female,43383,23705,6623,,,,,,,,
Seongbuk-gu,Total,94447,45435,16966,,,,,,,,
Seongbuk-gu,Male,49372,20469,8615,,,,,,,,
Seongbuk-gu,Female,45075,24966,8351,,,,,,,,
Gangbuk-gu,Total,68970,31345,13599,,,,,,,,
Gangbuk-gu,Male,35125,13625,6807,,,,,,,,
Gangbuk-gu,Female,33845,17720,6792,,,,,,,,
Dobong-gu,Total,76726,34610,13270,,,,,,,,
Dobong-gu,Male,40041,15657,7064,,,,,,,,
Dobong-gu,Female,36685,18953,6206,,,,,,,,
Nowon-gu,Total,118615,58879,19317,,,,,,,,
Nowon-gu,Male,62888,27177,10047,,,,,,,,
Nowon-gu,Female,55727,31702,9270,,,,,,,,
Eunpyeong-gu,Total,98426,47907,15970,,,,,,,,
Eunpyeong-gu,Male,50454,20963,8346,,,,,,,,
Eunpyeong-gu,Female,47972,26944,7624,,,,,,,,
Seodaemun-gu,Total,62506,30309,11451,,,,,,,,
Seodaemun-gu,Male,31447,12988,5662,,,,,,,,
Seodaemun-gu,Female,31059,17321,5789,,,,,,,,
Mapo-gu,Total,77365,38970,12754,,,,,,,,
Mapo-gu,Male,39897,17322,6370,,,,,,,,
Mapo-gu,Female,37468,21648,6384,,,,,,,,
Yangcheon-gu,Total,96373,48355,13948,,,,,,,,
Yangcheon-gu,Male,51818,22435,7773,,,,,,,,
Yangcheon-gu,Female,44555,25920,6175,,,,,,,,
Gangseo-gu,Total,124471,61558,20193,,,,,,,,
Gangseo-gu,Male,65706,28062,10546,,,,,,,,
Gangseo-gu,Female,58765,33496,9647,,,,,,,,
Guro-gu,Total,93499,46156,14911,,,,,,,,
Guro-gu,Male,50716,21796,7988,,,,,,,,
Guro-gu,Female,42783,24360,6923,,,,,,,,
Geumcheon-gu,Total,53842,25495,7976,,,,,,,,
Geumcheon-gu,Male,29051,12040,4232,,,,,,,,
Geumcheon-gu,Female,24791,13455,3744,,,,,,,,
Yeongdeungpo-gu,Total,87518,44710,12652,,,,,,,,
Yeongdeungpo-gu,Male,46943,20672,6743,,,,,,,,
Yeongdeungpo-gu,Female,40575,24038,5909,,,,,,,,
Dongjak-gu,Total,83027,42580,13246,,,,,,,,
Dongjak-gu,Male,43472,19360,6828,,,,,,,,
Dongjak-gu,Female,39555,23220,6418,,,,,,,,
Gwanak-gu,Total,111634,56989,15386,,,,,,,,
Gwanak-gu,Male,58241,25815,7994,,,,,,,,
Gwanak-gu,Female,53393,31174,7392,,,,,,,,
Seocho-gu,Total,78039,42076,9368,,,,,,,,
Seocho-gu,Male,41279,18939,5373,,,,,,,,
Seocho-gu,Female,36760,23137,3995,,,,,,,,
Gangnam-gu,Total,99855,55331,11317,,,,,,,,
Gangnam-gu,Male,51147,24023,6330,,,,,,,,
Gangnam-gu,Female,48708,31308,4987,,,,,,,,
Songpa-gu,Total,137556,73864,16633,,,,,,,,
Songpa-gu,Male,72353,32803,9281,,,,,,,,
Songpa-gu,Female,65203,41061,7352,,,,,,,,
Gangdong-gu,Total,101261,51435,13905,,,,,,,,
Gangdong-gu,Male,52988,22787,7626,,,,,,,,
Gangdong-gu,Female,48273,4096956,6279,,,,,,,,