,,,general_hospital,general_hospital,hospital,hospital,clinic,clinic,affiliated_hospital,nursing_hospital,nursing_hospital,senior_care_hospital,senior_care_hospital,turberculosis_hospital,turberculosis_hospital,mental_hospital,mental_hospital,dentist,dentist,dental_clinic,dental_clinic,acupuncture,acupuncture,acupuncture_clinic,acupuncture_clinic,midwife,midwife
,total_num_hospitals,total_num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds,num_hospitals,num_hospital_beds
Seoul,17387,86536,58,33318,221,18484,8379,10750,62,114,18762,4,1035,1,436,1,199,65,84,4798,59,42,2583,3639,819,3,7
Jongno0gu,500,3408,4,2970,2,225,186,170,8,0,0,0,0,0,0,0,0,1,40,163,0,0,0,136,3,0,0
Jung0gu,562,1473,3,974,3,261,234,185,13,0,0,0,0,0,0,0,0,6,0,208,0,1,53,94,0,0,0
Yongsan0gu,309,992,1,725,2,172,131,95,3,0,0,0,0,0,0,0,0,0,0,108,0,0,0,63,0,1,0
Seongdong0gu,433,1874,1,845,5,403,197,119,0,3,507,0,0,0,0,0,0,1,0,131,0,0,0,95,0,0,0
Gwangjin0gu,553,2322,2,1097,5,438,269,519,0,2,234,0,0,0,0,0,0,2,0,152,0,0,0,121,34,0,0
Dongdaemun0gu,618,5688,5,2002,14,1608,252,474,0,8,1390,0,0,0,0,0,0,3,26,156,0,1,183,178,0,1,5
Jungnang0gu,498,3049,3,1041,12,831,228,667,0,2,286,0,0,0,0,1,199,0,0,146,0,0,0,106,25,0,0
Seongbuk0gu,531,3402,1,1048,7,511,251,451,1,6,1161,1,230,0,0,0,0,1,0,151,0,0,0,112,1,0,0
Gangbuk0gu,451,2205,1,201,8,766,223,446,0,6,755,0,0,0,0,0,0,1,0,118,1,0,0,94,36,0,0
Dobong0gu,364,2988,1,417,8,1205,156,174,1,7,860,1,162,0,0,0,0,1,0,103,0,2,170,84,0,0,0
Nowon0gu,721,3773,3,1657,6,419,352,425,0,7,1185,0,0,0,0,0,0,2,0,192,0,2,85,157,2,0,0
Eunpyeong0gu,646,3013,1,200,10,842,310,446,0,5,956,0,0,1,436,0,0,1,0,175,0,2,76,141,57,0,0
Seodaemun0gu,430,3799,2,2659,5,265,205,307,0,3,435,0,0,0,0,0,0,2,7,121,0,1,90,91,36,0,0
Mapo0gu,716,694,0,0,2,202,358,202,1,2,211,0,0,0,0,0,0,3,0,196,0,1,33,153,46,0,0
Yangcheon0gu,627,2791,2,1074,6,777,277,379,0,4,279,0,0,0,0,0,0,4,0,179,0,3,196,152,86,0,0
Gangseo0gu,804,3616,4,816,15,1205,369,612,2,4,691,0,0,0,0,0,0,3,0,216,0,3,183,187,107,1,2
Guro0gu,557,4403,2,1264,8,560,259,400,3,7,1652,1,430,0,0,0,0,2,0,164,0,1,55,110,42,0,0
Geumcheon0gu,340,1911,1,225,6,626,152,342,0,4,621,0,0,0,0,0,0,0,0,103,0,1,47,73,50,0,0
Yeongdeungpo0gu,743,5642,7,2128,8,851,326,392,10,12,2202,0,0,0,0,0,0,2,0,232,0,1,55,145,14,0,0
Dongjak0gu,571,2927,2,1599,5,393,257,323,0,3,535,0,0,0,0,0,0,2,0,169,0,1,30,132,47,0,0
Gwanak0gu,681,2406,2,484,9,604,306,527,3,3,677,0,0,0,0,0,0,1,0,203,0,0,0,154,114,0,0
Seocho0gu,1209,3501,1,1356,11,948,606,324,6,4,571,0,0,0,0,0,0,5,0,309,8,5,289,262,5,0,0
Gangnam0gu,2619,8368,4,3115,33,2099,1604,1449,5,9,1048,0,0,0,0,0,0,16,1,572,50,10,592,366,14,0,0
Songpa0gu,1132,6513,2,3155,16,1324,529,704,3,7,1009,1,213,0,0,0,0,3,0,318,0,2,82,251,26,0,0
Gangdong0gu,772,5778,3,2266,15,949,342,618,3,6,1497,0,0,0,0,0,0,3,10,213,0,5,364,182,74,0,0